artist_name,artist_count,artist_id
"Latto, Jung Kook",2,1
Myke Towers,1,2
Olivia Rodrigo,1,3
Taylor Swift,1,4
Bad Bunny,1,5
"Dave, Central Cee",2,6
"Eslabon Armado, Peso Pluma",2,7
Quevedo,1,8
Gunna,1,9
"Peso Pluma, Yng Lvcas",2,10
"Bad Bunny, Grupo Frontera",2,11
NewJeans,1,12
Miley Cyrus,1,13
David Kushner,1,14
Harry Styles,1,15
SZA,1,16
Fifty Fifty,1,17
Billie Eilish,1,18
"Feid, Young Miko",2,19
Jimin,1,20
"Gabito Ballesteros, Junior H, Peso Pluma",3,21
Arctic Monkeys,1,22
"Bizarrap, Peso Pluma",2,23
"The Weeknd, Madonna, Playboi Carti",3,24
Fuerza Regida,1,25
"Rï¿½ï¿½ma, Selena G",2,26
"Tainy, Bad Bunny",2,27
Morgan Wallen,1,28
Dua Lipa,1,29
Troye Sivan,1,30
"Peso Pluma, Grupo Frontera",2,31
"The Weeknd, 21 Savage, Metro Boomin",3,32
"Karol G, Shakira",2,33
"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,34
"Yahritza Y Su Esencia, Grupo Frontera",2,35
"Junior H, Peso Pluma",2,36
"Post Malone, Swae Lee",2,37
"Bebe Rexha, David Guetta",2,38
"Tyler, The Creator, Kali Uchis",3,39
"Nicki Minaj, Aqua, Ice Spice",3,40
OneRepublic,1,41
The Weeknd,1,42
"The Weeknd, Daft Punk",2,43
"Ariana Grande, The Weeknd",2,44
"Feid, Myke Towers, Sky Rompiendo",3,45
"David Guetta, Anne-Marie, Coi Leray",3,46
Karol G,1,47
Peggy Gou,1,48
Tom Odell,1,49
Kali Uchis,1,50
Manuel Turizo,1,51
"dennis, MC Kevin o Chris",2,52
"PinkPantheress, Ice Spice",2,53
"Charlie Puth, BTS, Jung Kook",3,54
"Rauw Alejandro, ROSALï¿½",2,55
"Ozuna, Feid",2,56
Chris Molitor,1,57
Libianca,1,58
Post Malone,1,59
"Rauw Alejandro, Bizarrap",2,60
Glass Animals,1,61
JVKE,1,62
The Neighbourhood,1,63
"Bizarrap, Quevedo",2,64
Coldplay,1,65
d4vd,1,66
"Sam Smith, Kim Petras",2,67
"Yandel, Feid",2,68
Maria Becerra,1,69
Vance Joy,1,70
"Em Beihold, Stephen Sanchez",2,71
"Mc Livinho, DJ Matt D",2,72
"Justin Bieber, The Kid Laroi",2,73
"Marshmello, Manuel Turizo",2,74
Lewis Capaldi,1,75
"Chencho Corleone, Bad Bunny",2,76
Jain,1,77
"Ayparia, unxbected",2,78
Luke Combs,1,79
Doechii,1,80
"Bad Bunny, Eladio Carrion",2,81
Jung Kook,1,82
"J. Cole, Lil Durk",2,83
Lana Del Rey,1,84
BTS,1,85
"Future, Metro Boomin, Don Toliver",3,86
Eminem,1,87
Carin Leon,1,88
"Dua Lipa, Elton John, Pnau",3,89
Ruth B.,1,90
Imagine Dragons,1,91
Adele,1,92
