track_name,artist_id,release_date,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,cover_url,track_id
Seven (feat. Latto) (Explicit Ver.),1,2023-07-14,125,B,Major,80,89,83,31,0,8,4,Not Found,1
LALA,2,2023-03-23,92,C#,Major,71,61,74,7,0,10,4,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,2
vampire,3,2023-06-30,138,F,Major,51,32,53,17,0,31,6,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,3
Cruel Summer,4,2019-08-23,170,A,Major,55,58,72,11,0,11,15,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,4
WHERE SHE GOES,5,2023-05-18,144,A,Minor,65,23,80,14,63,11,6,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,5
Sprinter,6,2023-06-01,141,C#,Major,92,66,58,19,0,8,24,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,6
Ella Baila Sola,7,2023-03-16,148,F,Minor,67,83,76,48,0,8,3,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,7
Columbia,8,2023-07-07,100,F,Major,67,26,71,37,0,11,4,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,8
fukumean,9,2023-05-15,130,C#,Minor,85,22,62,12,0,28,9,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,9
La Bebe - Remix,10,2023-03-17,170,D,Minor,81,56,48,21,0,8,33,Not Found,10
un x100to,11,2023-04-17,83,F#,Minor,57,56,72,23,0,27,5,Not Found,11
Super Shy,12,2023-07-07,150,F,Minor,78,52,82,18,0,15,7,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,12
Flowers,13,2023-01-12,118,Unknown,Major,71,65,68,6,0,3,7,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46,13
Daylight,14,2023-04-14,130,D,Minor,51,32,43,83,0,9,3,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,14
As It Was,15,2022-03-31,174,F#,Minor,52,66,73,34,0,31,6,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,15
Kill Bill,16,2022-12-08,89,G#,Major,64,43,73,5,17,16,4,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,16
Cupid - Twin Ver.,17,2023-02-24,120,B,Minor,78,76,59,43,0,34,3,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,17
"What Was I Made For? [From The Motion Picture ""Barbie""]",18,2023-07-13,78,Unknown,Major,44,14,9,96,0,10,3,Not Found,18
Classy 101,19,2023-03-31,100,B,Major,86,67,66,14,0,12,16,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,19
Like Crazy,20,2023-03-24,120,G,Major,63,36,73,0,0,36,4,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,20
LADY GAGA,21,2023-06-22,140,F,Minor,65,87,74,22,0,42,4,Not Found,21
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,4,2023-07-07,123,F#,Major,69,82,76,6,0,6,3,Not Found,22
I Wanna Be Yours,22,2013-01-01,135,Unknown,Minor,48,44,42,12,2,11,3,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,23
"Peso Pluma: Bzrp Music Sessions, Vol. 55",23,2023-05-31,133,F,Minor,85,81,67,26,0,12,5,https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81,24
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),24,2023-06-02,99,C#,Major,85,83,68,7,0,36,20,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,25
SABOR FRESA,25,2023-06-22,130,G,Minor,79,96,86,9,0,9,9,https://i.scdn.co/image/ab67616d0000b273cfe3eb72c48b93971e53efd9,26
Calm Down (with Selena Gomez),26,2022-03-25,107,B,Major,80,82,80,43,0,14,4,Not Found,27
MOJABI GHOST,27,2023-06-29,122,F#,Minor,81,74,71,14,0,56,4,https://i.scdn.co/image/ab67616d0000b273de7b9af78fbdda96c5a0635b,28
Last Night,28,2023-01-31,204,F#,Major,52,52,68,46,0,15,4,https://i.scdn.co/image/ab67616d0000b273fc1df8423733f6f3c9e8dea2,29
Dance The Night (From Barbie The Album),29,2023-05-25,110,B,Minor,67,78,85,2,0,33,5,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192,30
Rush,30,2023-07-13,126,F,Minor,74,35,84,0,0,11,6,https://i.scdn.co/image/ab67616d0000b273a4ffb2049ffce92bdae5f559,31
TULUM,31,2023-06-28,168,F#,Major,56,63,87,39,0,11,5,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba,32
