user_id,country,age,gender,subscription_type,signup_date
1,CA,49,Female,Premium,2024-09-06
2,AU,53,Male,Free,2021-10-09
3,DE,54,Male,Premium,2021-09-10
4,IN,31,Female,Free,2020-05-30
5,US,44,Female,Premium,2022-08-01
6,US,36,Female,Free,2024-07-02
7,US,48,Male,Premium,2024-10-23
8,BR,26,Male,Free,2022-05-09
9,IN,55,Male,Free,2020-11-14
10,IN,34,Female,Free,2023-06-24
11,US,36,Male,Premium,2022-11-26
12,AU,21,Female,Free,2023-07-15
13,BR,28,Male,Free,2024-05-28
14,US,39,Male,Free,2020-04-24
15,US,21,Male,Free,2023-01-09
16,US,34,Male,Premium,2021-12-05
17,UK,25,Female,Free,2021-12-26
18,IN,51,Male,Premium,2024-03-30
19,IN,28,Female,Free,2023-09-21
20,UK,48,Male,Free,2023-01-12
21,IN,28,Male,Free,2022-06-05
22,US,55,Male,Free,2022-02-16
23,UK,38,Male,Free,2022-03-20
24,CA,47,Male,Free,2020-06-02
25,IN,27,Female,Premium,2020-09-09
26,DE,43,Male,Free,2021-05-16
27,US,44,Male,Free,2021-03-23
28,IN,25,Female,Free,2023-07-20
29,IN,56,Male,Free,2022-07-18
30,US,25,Female,Free,2022-04-04
31,IN,25,Male,Free,2022-05-03
32,US,51,Male,Premium,2021-05-21
33,US,33,Female,Premium,2020-05-11
34,AU,58,Other,Premium,2024-09-30
35,AU,30,Male,Free,2023-09-10
36,BR,40,Male,Free,2020-12-16
37,UK,29,Male,Premium,2023-01-11
38,US,44,Male,Premium,2022-03-28
39,IN,39,Female,Free,2020-05-05
40,IN,49,Male,Free,2023-05-22
41,US,44,Female,Free,2022-04-14
42,IN,19,Male,Free,2024-10-16
43,US,50,Female,Premium,2024-11-08
44,BR,43,Female,Free,2024-06-11
45,UK,45,Female,Free,2022-06-14
46,IN,36,Male,Free,2022-08-12
47,UK,22,Female,Free,2021-04-06
48,IN,50,Female,Free,2021-09-16
49,IN,37,Female,Premium,2020-04-14
