event_id,user_id,track_id,timestamp,device,session_length_sec,listened_seconds,completed
1,1,623,2022-10-04,Desktop,489,365,0
2,1,888,2022-10-05,Mobile,156,115,0
3,1,378,2024-01-25,Smart Speaker,80,38,0
4,1,726,2022-03-24,Mobile,436,266,0
5,1,346,2022-09-09,Smart Speaker,449,191,0
6,1,831,2022-07-24,Mobile,596,380,0
7,1,431,2020-07-20,Desktop,338,146,0
8,1,117,2024-06-13,Smart Speaker,273,34,0
9,1,386,2021-02-21,Smart Speaker,239,228,1
10,1,640,2021-10-25,Mobile,208,191,1
11,1,180,2020-06-25,Desktop,530,170,0
12,4,662,2024-02-01,Mobile,185,123,0
13,4,849,2020-05-27,Mobile,113,58,0
14,4,476,2023-10-15,Mobile,92,70,0
15,4,769,2022-08-09,Desktop,170,132,0
16,4,32,2023-03-13,Mobile,314,295,1
17,4,18,2022-10-06,Mobile,400,184,0
18,4,113,2024-07-25,Mobile,143,72,0
19,4,925,2022-03-10,Mobile,84,12,0
20,9,878,2020-03-27,Smart Speaker,191,133,0
21,9,800,2023-10-04,Mobile,207,144,0
22,9,313,2020-11-23,Mobile,472,264,0
23,9,239,2022-12-10,Desktop,258,76,0
24,9,264,2020-04-05,Smart Speaker,447,300,0
25,9,288,2021-05-05,Smart Speaker,149,55,0
26,9,500,2021-04-13,Mobile,194,191,1
27,9,823,2022-02-13,Desktop,36,19,0
28,9,85,2023-11-05,Desktop,176,121,0
29,9,285,2022-03-25,Mobile,111,11,0
30,9,523,2021-04-15,Mobile,415,204,0
31,9,532,2024-10-23,Mobile,290,265,1
32,15,53,2022-05-03,Desktop,529,515,1
33,15,593,2020-02-28,Desktop,187,129,0
34,15,128,2021-06-04,Mobile,144,23,0
35,15,237,2024-11-16,Mobile,310,210,0
36,15,494,2021-09-01,Mobile,33,22,0
37,15,75,2020-02-11,Mobile,175,137,0
38,15,934,2024-08-27,Desktop,63,26,0
39,15,378,2023-08-03,Desktop,371,36,0
40,15,168,2022-03-31,Mobile,297,246,1
41,24,685,2022-09-07,Mobile,430,419,1
42,24,634,2020-05-09,Mobile,587,585,1
43,24,363,2020-01-29,Mobile,321,291,1
44,24,296,2023-02-10,Desktop,40,13,0
45,24,744,2020-04-07,Mobile,256,63,0
46,24,664,2023-08-28,Mobile,435,78,0
47,24,548,2022-08-15,Smart Speaker,177,90,0
48,24,482,2024-01-13,Mobile,230,163,0
