track_id,spotify_playlists,spotify_charts,apple_playlists,apple_charts,deezer_playlists,deezer_charts,shazam_charts,streams
1,553,147,43,263,45,10,826,141381703
2,1474,48,48,126,58,14,382,133716286
3,1397,113,94,207,91,14,949,140003974
4,7858,100,116,207,125,12,548,800840817
5,3133,50,84,133,87,15,425,303236322
6,2186,91,67,213,88,17,946,183706234
7,3090,50,34,222,43,13,418,725980112
8,714,43,25,89,30,13,194,58149378
9,1096,83,60,210,48,11,953,95217315
10,2953,44,49,110,66,13,339,553634067
11,2876,40,41,205,54,12,251,505671438
12,422,55,37,202,21,5,168,58255150
13,12211,115,300,215,745,58,1021,1316855716
14,3528,98,80,156,182,24,1281,387570742
15,23575,130,403,198,863,46,0,2513188493
16,8109,77,183,162,161,12,187,1163093654
17,2942,77,91,212,78,6,0,496795686
18,873,104,80,227,95,24,1173,30546883
19,2610,40,43,100,54,14,187,335222234
20,596,68,8,104,23,2,29,363369738
21,332,26,11,163,10,4,0,86444842
22,516,38,73,119,42,1,150,52135248
23,12859,110,24,98,582,2,73,1297026226
24,1313,40,17,152,32,11,139,200647221
25,1945,87,74,182,87,14,1093,115364561
26,250,26,16,149,10,5,168,78300654
27,7112,77,202,119,318,38,96,899183384
28,859,40,35,109,41,14,211,61245289
29,2420,19,52,107,15,1,325,429829812
30,2988,101,0,0,143,38,0,127408954
31,864,78,71,135,50,1,294,22581161
32,266,34,20,185,13,8,197,52294266
33,6036,88,113,149,245,23,27,843957510
34,9082,56,242,142,165,9,310,999748277
35,4284,49,115,123,184,18,354,618990393
36,1150,31,22,33,34,7,184,123122413
37,672,34,19,108,24,9,212,188933502
38,11434,53,154,123,410,2,81,1355959075
39,7830,42,94,111,151,4,82,786181836
40,584,28,16,159,15,6,100,176553476
41,692,25,10,107,6,3,62,354495408
42,24094,78,372,117,843,4,69,2808096550
43,12482,80,291,184,537,45,727,1109433169
44,13387,64,77,58,247,1,311,1047101291
45,1117,80,82,145,65,16,1133,65156199
46,3372,19,65,48,138,1,102,570515054
47,8431,76,241,127,458,37,332,1085685420
48,2483,59,68,21,24,0,259,1647990401
49,29536,79,281,137,0,1,140,2565529693
50,3408,47,87,86,74,1,16,518745108
51,1298,38,44,64,57,10,110,107753850
52,4277,66,145,111,213,11,810,177740666
53,1133,39,14,71,23,10,176,153372011
54,2259,59,0,0,109,17,0,57876440
55,18371,83,250,122,0,19,0,1813673666
56,43899,69,672,199,0,20,0,3703895074
57,2649,42,67,79,57,1,615,256483385
58,6804,45,139,111,161,15,210,1214083358
59,525,41,34,115,39,6,216,16011326
60,7923,29,106,112,142,4,215,812019557
61,731,15,27,17,73,4,167,111947664
62,5184,41,154,84,102,14,37,156338624
63,3107,39,38,0,4,0,0,720434240
64,4053,50,82,121,182,12,171,357925728
65,4637,38,63,79,89,11,16,674072710
66,31358,43,196,2,0,5,0,1755214421
67,3818,23,37,55,32,0,272,404562836
68,3506,56,105,64,169,8,529,373199958
69,410,36,36,32,31,1,26,14780425
70,148,24,32,93,8,2,5,39578178
71,1004,35,42,80,58,3,169,54266102
72,22543,63,386,144,707,28,0,2557975762
73,4511,36,70,58,109,18,230,751134527
74,16413,61,166,87,0,1,0,2282771485
75,8506,45,94,65,164,14,176,1356565093
76,33898,62,233,0,0,9,0,1592909789
77,3246,23,94,85,68,1,84,635412045
78,8576,42,216,108,331,26,154,1230675890
79,3618,38,47,74,80,14,194,585695368
80,370,20,12,16,18,4,93,43857627
81,31123,55,300,65,0,1,0,2009094673
82,2790,30,60,96,71,0,115,600976848
83,267,9,9,6,25,2,72,39709092
84,139,17,16,72,5,0,8,39228929
85,17050,36,492,99,798,31,0,2665343922
86,2114,44,80,75,110,11,323,223633238
87,17836,53,440,125,0,0,0,2887241814
88,8870,43,104,120,141,26,49,1440757818
89,6060,53,150,148,0,22,1451,165484133
90,641,50,1,52,8,0,1170,58054811
91,1446,12,57,97,35,0,429,157058870
92,804,25,29,76,24,0,162,95131998
93,1962,38,28,89,29,5,82,250305248
94,4875,23,19,45,0,0,10,685032533
95,31,39,2,107,8,0,0,38411956
96,2175,23,69,145,69,2,478,144565150
97,2000,46,49,105,63,1,0,127567540
98,2839,25,58,156,42,1,236,399686758
99,20333,52,89,143,0,3,200,983637508
